gaisma,stress,lapas,garums
zema,nav,264,91
zema,nav,200,80
zema,nav,225,88
zema,nav,268,109
zema,nav,215,76
zema,nav,241,96
zema,nav,232,86
zema,nav,256,100
zema,nav,229,100
zema,nav,288,100
zema,nav,253,100
zema,nav,288,119
zema,nav,230,87
zema,ir,235,94
zema,ir,188,76
zema,ir,195,81
zema,ir,205,81
zema,ir,212,94
zema,ir,214,82
zema,ir,182,67
zema,ir,215,92
zema,ir,272,94
zema,ir,163,78
zema,ir,230,100
zema,ir,255,88
zema,ir,202,71
normala,nav,314,125
normala,nav,320,115
normala,nav,310,119
normala,nav,340,127
normala,nav,299,112
normala,nav,268,108
normala,nav,345,125
normala,nav,271,95
normala,nav,285,109
normala,nav,309,124
normala,nav,337,126
normala,nav,282,100
normala,nav,273,101
normala,ir,283,104
normala,ir,312,122
normala,ir,291,119
normala,ir,259,101
normala,ir,216,73
normala,ir,201,85
normala,ir,267,97
normala,ir,326,114
normala,ir,241,102
normala,ir,291,109
normala,ir,269,95
normala,ir,282,117
normala,ir,257,96
