gads	hron	dec	jan	feb	mar
1924	0.894	-3.2	-8.2	-7.1	-3.3
1925	1.099	-5.8	1.5	1.3	-1.5
1926	0.891	-3.4	-5	-4.7	-0.6
1927	0.96	-3.1	-5.2	-3.7	1.7
1928	0.835	-5.5	-2.6	-3.6	-2.2
1929	0.797	-3	-7.1	-14	-2.3
1930	0.988	1.7	0.5	-3.7	0.4
1931	0.915	-2.8	-4.5	-6.2	-4.9
1932	0.91	-1.5	0.3	-6.5	-5.2
1933	1.072	1.7	-6.5	-4.3	0.1
1934	1.155	-4.8	-1.9	-0.5	0.4
1935	1.024	-2.9	-6.3	-2.2	-0.8
1936	1.052	-6.5	-1.4	-6.4	1
1937	1.011	1.2	-7.6	-3.8	-1.2
1938	1.156	-5	-2.6	-0.7	2.9
1939	1.145	-5.5	-2.9	1	-1.1
1940	0.628	-3.2	-11.1	-13.1	-5.9
1941	1.012	-2.9	-11.7	-6.8	-3.2
1942	0.91	-2.9	-12.9	-10.9	-10.8
1943	1.05	3.2	-6.9	0.7	2.4
1944	0.986	-8.7	-0.3	-2.3	-1
1945	1.191	-1.1	-3.6	-1.1	-0.6
1946	1.011	-4.4	-3.7	-4.2	-2.2
1947	0.819	-3.2	-8.1	-11.8	-4.1
1948	1.107	-1.3	-3.6	-5.9	0.1
1949	0.96	-5.8	-0.4	0	-1
1950	1.164	1.6	-9.7	-2.2	0.2
1951	0.913	-0.9	-6.4	-4.3	-4
1952	0.963	1.7	-1.1	-4	-7.5
1953	1.133	-5.6	-4	-5.5	0.4
1954	0.878	-2.7	-6.1	-12.2	0.1
1955	1.01	-7.6	-3.7	-5	-3.8
1956	0.96	-3.8	-4.2	-11.3	-3
1957	1.141	2.9	-0.8	-0.1	-2.7
1958	0.818	-5.2	-4.4	-5.4	-5.5
1959	1.088	-8.5	-2.1	-0.6	2
1960	1.061	-4.2	-5.7	-6.6	-3.1
1961	0.95	2.3	-2	0.8	2.2
1962	0.678	-2.8	-0.7	-3.4	-5.9
1963	1.034	-3.4	-9.5	-9.4	-6
1964	1.055	-4	-1.9	-7.6	-4.5
1965	0.977	-7.7	-2.7	-6.3	-2.4
1966	0.895	-5.6	-8.6	-8.2	0
1967	1.146	-3.2	-8.5	-2.4	2.6
1968	1.119	-5.8	-8.1	-4.4	0.2
1969	0.724	3.7	-9.2	-7.3	-5.8
1970	1.052	-6.9	-8.8	-8.7	-1.6
1971	0.987	3.1	-1.1	-2	-3.2
1972	1.118	-8.8	-8.2	-2.3	0
1973	0.984	2.1	-2.6	-0.7	1.8
1974	1.139	-3	-2	0.3	1.2
1975	1.154	1	0.7	-1	1.7
1976	1.013	-5.6	-5.9	-5.4	-3.7
1977	0.898	-3.3	-4.8	-5	-0.1
1978	1.165	-2.8	-3.5	-7.5	0.5
1979	0.937	-8.8	-8.2	-6.9	-0.9
1980	0.85	-1.5	-6.3	-6.9	-4.5
1981	0.855	-6.9	-3.8	-2.9	-1.6
1982	0.929	-4.6	-5.2	-4	0.7
1983	0.966	3.4	1.1	-4.5	-0.5
1984	0.889	-1.2	-1.7	-4.3	-2.7
1985	0.877	-6.9	-9.6	-13.1	-1
1986	1.039	-2.8	-3.5	-9.9	0.5
1987	1.012	-3.2	-12.3	-3.5	-5.6
1988	0.949	-1.4	-1.6	-1.9	-2
1989	1.026	-2.9	2.4	2.4	3.1
1990	1.037	3.6	1	3.7	3.7
1991	0.938	3.8	-0.1	-3.7	1.4
1992	1.13	3.6	0.6	0	1.9
1993	1.009	3.8	-0.8	-0.8	-0.1
1994	0.871	3.5	-1.1	-8.7	-0.9
1995	1.172	-5.6	-3.2	1.1	0.9
1996	1.086	-5.5	-6.5	-9.2	-3.3
1997	1.1	-5	-2.5	-0.4	-0.7
1998	0.881	-3.1	0.2	0.2	-1
1999	1.105	3.4	-2	-3.4	1.7
2000	0.997	3.1	-1.3	0.6	0.8
2001	0.853	1.4	-1.1	-3.7	-1
2002	1.028	-4.5	-0.7	1	1.8
2003	1.001	-7.5	-5.1	-5.2	0.2
2004	1.041	1.1	-6.3	-2.6	-0.1
