"pH"	"smilts"	"sunas"	"sugas"
7.9	27	17	7
7.6	36	44	6
7	47	33	6
7.1	35	61	6
7.2	24	56	7
6.7	35	56	6
5.8	27	61	6
6.7	29	60	7
7.3	48	25	6
7.5	48	41	6
5.6	37	67	5
6	49	37	5
6.5	37	52	7
7	35	63	6
6.9	41	56	6
5.7	38	49	5
6.5	44	52	5
6.3	34	48	6
5.8	14	66	6
6.4	33	48	6
4	31	40	5
5.3	23	62	5
6	40	52	5
7.6	45	37	6
8.6	45	53	7
5.6	27	58	5
7.2	25	43	7
6.8	57	20	6
7.6	49	29	6
8.1	39	53	7
5.8	31	48	5
6.9	18	89	7
5.9	36	43	5
7.6	46	36	6
6.3	32	36	5
7.5	31	38	7
6.2	32	50	7
5.4	44	40	5
7.2	32	54	7
5.2	31	51	5
5.3	44	51	5
7.8	36	68	7
6.3	40	55	6
6.4	36	59	6
6	35	52	6
5.7	29	58	5
6.7	31	35	6
6.3	23	52	7
7.3	33	32	7
6.3	36	54	5
5.7	30	67	7
5	47	42	4
6.7	41	43	6
6.5	27	56	6
6.1	35	42	6
6.4	39	58	6
7.9	35	59	6
6.7	47	44	5
5.8	34	65	6
5.8	52	54	5
8.2	45	37	6
5.3	36	59	6
6.6	28	72	6
6	33	53	7
7.3	38	37	8
6	32	65	7
6.2	50	25	5
8.4	50	25	7
6	21	67	7
6.2	29	39	6
7.1	23	64	8
6.7	36	52	6
7.6	39	53	8
