gaisma	stress	lapas
zema	nav	264
zema	nav	200
zema	nav	225
zema	nav	268
zema	nav	215
zema	nav	241
zema	nav	232
zema	nav	256
zema	nav	229
zema	nav	288
zema	nav	253
zema	nav	288
zema	nav	230
zema	ir	235
zema	ir	188
zema	ir	195
zema	ir	205
zema	ir	212
zema	ir	214
zema	ir	182
zema	ir	215
zema	ir	272
zema	ir	163
zema	ir	230
zema	ir	255
zema	ir	202
normala	nav	314
normala	nav	320
normala	nav	310
normala	nav	340
normala	nav	299
normala	nav	268
normala	nav	345
normala	nav	271
normala	nav	285
normala	nav	309
normala	nav	337
normala	nav	282
normala	nav	273
normala	ir	283
normala	ir	312
normala	ir	291
normala	ir	259
normala	ir	216
normala	ir	201
normala	ir	267
normala	ir	326
normala	ir	241
normala	ir	291
normala	ir	269
normala	ir	282
normala	ir	257
